             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7289501      long        1  iap0001  R 1-21:07:11      1 qnode8124
           7289502      long        1  iap0001  R 1-21:07:11      1 qnode8125
           7289503      long        1  iap0001  R 1-21:07:11      1 qnode8001
           7289504      long        1  iap0001  R 1-21:07:11      1 qnode8001
           7289505      long        1  iap0001  R 1-21:07:11      1 qnode8002
           7289506      long        1  iap0001  R 1-21:07:11      1 qnode8002
           7289507      long        1  iap0001  R 1-21:07:11      1 qnode8002
           7289508      long        1  iap0001  R 1-21:07:11      1 qnode8003
           7289509      long        1  iap0001  R 1-21:07:11      1 qnode8003
           7289510      long        1  iap0001  R 1-21:07:11      1 qnode8004
           7289511      long        1  iap0001  R 1-21:07:11      1 qnode8005
           7289512      long        1  iap0001  R 1-21:07:11      1 qnode8005
           7289513      long        1  iap0001  R 1-21:07:11      1 qnode8005
           7289514      long        1  iap0001  R 1-21:07:11      1 qnode0387
           7289515      long        1  iap0001  R 1-21:07:11      1 qnode0387
           7289516      long        1  iap0001  R 1-21:07:11      1 qnode0387
           7289517      long        1  iap0001  R 1-21:07:11      1 qnode0391
           7289518      long        1  iap0001  R 1-21:07:11      1 qnode0391
           7289519      long        1  iap0001  R 1-21:07:11      1 qnode0391
           7289520      long        1  iap0001  R 1-21:07:11      1 qnode0394
           7289489      long        1  iap0001  R 1-21:07:54      1 qnode8129
           7289490      long        1  iap0001  R 1-21:07:54      1 qnode8129
           7289491      long        1  iap0001  R 1-21:07:54      1 qnode8129
           7289492      long        1  iap0001  R 1-21:07:54      1 qnode8129
           7289493      long        1  iap0001  R 1-21:07:54      1 qnode8134
           7289494      long        1  iap0001  R 1-21:07:54      1 qnode8134
           7289495      long        1  iap0001  R 1-21:07:54      1 qnode8134
           7289496      long        1  iap0001  R 1-21:07:54      1 qnode8123
           7289497      long        1  iap0001  R 1-21:07:54      1 qnode8123
           7289498      long        1  iap0001  R 1-21:07:54      1 qnode8123
           7289477      long        1  iap0001  R 1-21:09:58      1 qnode8010
           7289478      long        1  iap0001  R 1-21:09:58      1 qnode8010
           7289479      long        1  iap0001  R 1-21:09:58      1 qnode8010
           7289480      long        1  iap0001  R 1-21:09:58      1 qnode8121
           7289481      long        1  iap0001  R 1-21:09:58      1 qnode8129
           7289482      long        1  iap0001  R 1-21:09:58      1 qnode8133
           7289483      long        1  iap0001  R 1-21:09:58      1 qnode8133
           7289484      long        1  iap0001  R 1-21:09:58      1 qnode8133
           7289485      long        1  iap0001  R 1-21:09:58      1 qnode8134
           7289486      long        1  iap0001  R 1-21:09:58      1 qnode8134
           7312275      long ox_solub  nsr0404  R   18:10:14      6 qnode[1154-1157,8003-8004]
           7328295      long        1  iap0001  R   21:41:43      1 qnode8135
           7328301      long        1  iap0001  R   21:41:43      1 qnode8004
           7328307      long        1  iap0001  R   21:41:43      1 qnode8004
           7328319      long        1  iap0001  R   21:41:43      1 qnode8005
           7328330      long        1  iap0001  R   21:41:43      1 qnode8123
           7328346      long        1  iap0001  R   21:41:43      1 qnode8123
           7312271      long ox_solub  nsr0404  R   20:25:02      6 qnode[0402,0404-0405,0506-0507,1264]
           7312273      long ox_solub  nsr0404  R   20:25:02      6 qnode[0455,0460,1158,1250,1266,8126]
           7312260      long ox_solub  nsr0404  R   21:51:20      6 qnode[0411,0454,0506-0507,0709-0710]
           7312261      long ox_solub  nsr0404  R   21:51:20      6 qnode[0389,0430,0525,1161,1242-1243]
           7312253      long ox_solub  nsr0404  R   21:51:21      6 qnode[8003-8004,8121-8122,8130-8131]
           7312254      long ox_solub  nsr0404  R   21:54:03      6 qnode[0404-0405,1259,1266,8130-8131]
           7312241      long ox_solub  nsr0404  R   22:48:09      6 qnode[0430,0454-0455,1139,1161,1238]
           7312240      long ox_solub  nsr0404  R   22:54:30      6 qnode[0399,0544,1161,1245,1252,1266]
           7291428      long 5_H2O_22  maa4292  R 1-17:52:40      1 qnode0539
           7291429      long 5_H2O_23  maa4292  R 1-17:52:40      1 qnode0539
           6995824      long  6EscVBD  sbn6912  R 5-19:41:22      1 qnode0710
           6995819      long  6EscVBD  sbn6912  R 5-19:51:54      1 qnode0375
           6995814      long  6EscVBD  sbn6912  R 5-20:03:16      1 qnode8136
           6995808      long  6EscVBD  sbn6912  R 5-20:07:50      1 qnode0713
           6995803      long  6EscVBD  sbn6912  R 5-20:35:00      1 qnode0710
           6995798      long  6EscVBD  sbn6912  R 5-21:01:32      1 qnode0455
           6995793      long  6EscVBD  sbn6912  R 5-21:48:57      1 qnode0428
           6995781      long  5EscVBD  sbn6912  R 5-22:27:11      1 qnode1168
       7384605_919    normal sc${SLUR  dtf8829 CG      52:00      1 qnode1223
           7838755    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838753    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
           7838746    normal      l15  qsk4554 PD       0:00      1 (InvalidQOS)
